year,reg_sk,sex_sk,age,dr
1989,1110,3,10,5.09e-4
1989,1110,3,15,0.002029
1989,1110,3,20,0.001855
1989,1110,3,25,0.002155
1989,1110,3,30,0.002501
1989,1110,3,35,0.00335
1989,1110,3,40,0.004662
1989,1110,3,45,0.007591
1989,1110,3,50,0.010318
1989,1110,3,55,0.015859
1989,1110,3,60,0.022995
1989,1110,3,65,0.033619
1989,1110,3,70,0.05047
1989,1110,3,75,0.078253
1989,1110,3,80,0.125154
1989,1110,3,85,0.189928
1989,1111,1,0,0.018296
1989,1111,1,1,0.001119
1989,1111,1,5,8.51e-4
1989,1111,1,10,8.26e-4
1989,1111,1,15,0.001406
1989,1111,1,20,0.002712
1989,1111,1,25,0.00274
1989,1111,1,30,0.003526
1989,1111,1,35,0.005103
1989,1111,1,40,0.00668
1989,1111,1,45,0.010226
1989,1111,1,50,0.015703
1989,1111,1,55,0.0233
1989,1111,1,60,0.036525
1989,1111,1,65,0.049388
1989,1111,1,70,0.073771
1989,1111,1,75,0.109089
1989,1111,1,80,0.142508
1989,1111,1,85,0.214031
1989,1111,2,0,0.010617
1989,1111,2,1,6.79e-4
1989,1111,2,5,5.08e-4
1989,1111,2,10,3.11e-4
1989,1111,2,15,5.44e-4
1989,1111,2,20,6.7e-4
1989,1111,2,25,5.39e-4
1989,1111,2,30,7.45e-4
1989,1111,2,35,0.001364
1989,1111,2,40,0.002069
1989,1111,2,45,0.002805
1989,1111,2,50,0.004494
1989,1111,2,55,0.008062
1989,1111,2,60,0.013525
1989,1111,2,65,0.022414
1989,1111,2,70,0.041108
1989,1111,2,75,0.065454
1989,1111,2,80,0.110301
1989,1111,2,85,0.21097
1989,1111,3,0,0.014525
1989,1111,3,1,9.02e-4
1989,1111,3,5,6.81e-4
1989,1111,3,10,5.72e-4
1989,1111,3,15,9.99e-4
1989,1111,3,20,0.001785
1989,1111,3,25,0.001744
1989,1111,3,30,0.002232
1989,1111,3,35,0.003329
1989,1111,3,40,0.004449
1989,1111,3,45,0.006529
1989,1111,3,50,0.009853
1989,1111,3,55,0.014927
1989,1111,3,60,0.022548
1989,1111,3,65,0.02948
1989,1111,3,70,0.048498
1989,1111,3,75,0.074325
1989,1111,3,80,0.115619
1989,1111,3,85,0.211503
1989,1112,1,0,0.018686
1989,1112,1,1,0.001372
1989,1112,1,5,9.32e-4
1989,1112,1,10,8.48e-4
1989,1112,1,15,0.001802
1989,1112,1,20,0.003339
1989,1112,1,25,0.0033
1989,1112,1,30,0.003465
1989,1112,1,35,0.004873
1989,1112,1,40,0.006937
1989,1112,1,45,0.009917
1989,1112,1,50,0.014937
1989,1112,1,55,0.023592
1989,1112,1,60,0.033086
1989,1112,1,65,0.045019000000000003
1989,1112,1,70,0.067209
1989,1112,1,75,0.100549
1989,1112,1,80,0.149842
1989,1112,1,85,0.249076
1989,1112,2,0,0.012709
1989,1112,2,1,8.65e-4
1989,1112,2,5,3.69e-4
1989,1112,2,10,3.24e-4
1989,1112,2,15,7.6e-4
1989,1112,2,20,7.1e-4
1989,1112,2,25,9.5e-4
1989,1112,2,30,8.39e-4
1989,1112,2,35,0.001503
1989,1112,2,40,0.002247
1989,1112,2,45,0.003572
1989,1112,2,50,0.005719
1989,1112,2,55,0.007731
1989,1112,2,60,0.012834
1989,1112,2,65,0.022154
1989,1112,2,70,0.038087
1989,1112,2,75,0.063306
1989,1112,2,80,0.10444
1989,1112,2,85,0.191416
1989,1112,3,0,0.015757
1989,1112,3,1,0.001122
1989,1112,3,5,6.54e-4
1989,1112,3,10,5.89e-4
1989,1112,3,15,0.001301
1989,1112,3,20,0.00207
1989,1112,3,25,0.002192
1989,1112,3,30,0.002197
1989,1112,3,35,0.003217
1989,1112,3,40,0.004586
1989,1112,3,45,0.006608
1989,1112,3,50,0.010033
1989,1112,3,55,0.01493
1989,1112,3,60,0.021055
1989,1112,3,65,0.02937
1989,1112,3,70,0.046495
1989,1112,3,75,0.072716
1989,1112,3,80,0.114241
1989,1112,3,85,0.201362
1989,1114,1,0,0.019135
1989,1114,1,1,0.001227
1989,1114,1,5,4.14e-4
1989,1114,1,10,4.29e-4
1989,1114,1,15,0.001662
1989,1114,1,20,0.002391
1989,1114,1,25,0.00334
1989,1114,1,30,0.003932
1989,1114,1,35,0.004606
1989,1114,1,40,0.006537
1989,1114,1,45,0.010064
1989,1114,1,50,0.015298
1989,1114,1,55,0.02071
1989,1114,1,60,0.028317
1989,1114,1,65,0.041204
1989,1114,1,70,0.064595
1989,1114,1,75,0.089279
1989,1114,1,80,0.13527
1989,1114,1,85,0.230667
1989,1114,2,0,0.010485
1989,1114,2,1,7.07e-4
1989,1114,2,5,3.29e-4
1989,1114,2,10,2.22e-4
1989,1114,2,15,6.24e-4
1989,1114,2,20,5.9e-4
1989,1114,2,25,6.09e-4
1989,1114,2,30,9.77e-4
1989,1114,2,35,0.001559
1989,1114,2,40,0.002015
1989,1114,2,45,0.003275
1989,1114,2,50,0.004847
1989,1114,2,55,0.007636
1989,1114,2,60,0.010774
1989,1114,2,65,0.018907
1989,1114,2,70,0.031255
1989,1114,2,75,0.051942
1989,1114,2,80,0.100567
1989,1114,2,85,0.190309
1989,1114,3,0,0.014899
1989,1114,3,1,9.72e-4
1989,1114,3,5,3.73e-4
1989,1114,3,10,3.27e-4
1989,1114,3,15,0.001133
1989,1114,3,20,0.001462
1989,1114,3,25,0.001976
1989,1114,3,30,0.00246
1989,1114,3,35,0.003097
1989,1114,3,40,0.004258
1989,1114,3,45,0.006436
1989,1114,3,50,0.009772
1989,1114,3,55,0.01355
1989,1114,3,60,0.017516
1989,1114,3,65,0.025668
1989,1114,3,70,0.040098
1989,1114,3,75,0.060654
1989,1114,3,80,0.107957
1989,1114,3,85,0.197504
1989,1115,1,0,0.016298
1989,1115,1,1,0.001075
1989,1115,1,5,5.61e-4
1989,1115,1,10,3.35e-4
1989,1115,1,15,0.001438
1989,1115,1,20,0.00301
1989,1115,1,25,0.00354
1989,1115,1,30,0.004119
1989,1115,1,35,0.005634
1989,1115,1,40,0.006984
1989,1115,1,45,0.011959
1989,1115,1,50,0.014739
1989,1115,1,55,0.019791
1989,1115,1,60,0.02948
1989,1115,1,65,0.044866
1989,1115,1,70,0.063029
1989,1115,1,75,0.088627
1989,1115,1,80,0.133183
1989,1115,1,85,0.251628
1989,1115,2,0,0.012386
1989,1115,2,1,0.001032
1989,1115,2,5,4.24e-4
1989,1115,2,10,3.01e-4
1989,1115,2,15,5.74e-4
1989,1115,2,20,5.4e-4
1989,1115,2,25,8.09e-4
1989,1115,2,30,8.46e-4
1989,1115,2,35,0.001182
1989,1115,2,40,0.001899
1989,1115,2,45,0.002665
1989,1115,2,50,0.004559
1989,1115,2,55,0.007648
1989,1115,2,60,0.011958
1989,1115,2,65,0.019016
1989,1115,2,70,0.033685
1989,1115,2,75,0.056106
1989,1115,2,80,0.095234
1989,1115,2,85,0.201801
1989,1115,3,0,0.014392
1989,1115,3,1,0.001054
1989,1115,3,5,4.94e-4
1989,1115,3,10,3.18e-4
1989,1115,3,15,0.001016
1989,1115,3,20,0.001798
1989,1115,3,25,0.002213
1989,1115,3,30,0.002517
1989,1115,3,35,0.003432
1989,1115,3,40,0.00443
1989,1115,3,45,0.007074
1989,1115,3,50,0.009209
1989,1115,3,55,0.012907
1989,1115,3,60,0.018538
1989,1115,3,65,0.026372
1989,1115,3,70,0.041524
1989,1115,3,75,0.063668
1989,1115,3,80,0.102873
1989,1115,3,85,0.210371
1989,1117,1,0,0.018241
1989,1117,1,1,7.82e-4
1989,1117,1,5,5.79e-4
1989,1117,1,10,6.8e-4
1989,1117,1,15,0.001647
1989,1117,1,20,0.002604
1989,1117,1,25,0.002973
1989,1117,1,30,0.003431
1989,1117,1,35,0.004705
1989,1117,1,40,0.007119
1989,1117,1,45,0.012314
1989,1117,1,50,0.016946
1989,1117,1,55,0.024516
1989,1117,1,60,0.034168
1989,1117,1,65,0.047216
1989,1117,1,70,0.07293
1989,1117,1,75,0.099793
1989,1117,1,80,0.166421
1989,1117,1,85,0.231797
1989,1117,2,0,0.01328
1989,1117,2,1,7.93e-4
1989,1117,2,5,3.13e-4
1989,1117,2,10,2.03e-4
1989,1117,2,15,6.2e-4
1989,1117,2,20,5.32e-4
1989,1117,2,25,5.55e-4
1989,1117,2,30,8.97e-4
1989,1117,2,35,0.001271
1989,1117,2,40,0.002304
1989,1117,2,45,0.003039
1989,1117,2,50,0.005107
1989,1117,2,55,0.008113
1989,1117,2,60,0.013456
1989,1117,2,65,0.020767999999999998
1989,1117,2,70,0.035045
1989,1117,2,75,0.060926
1989,1117,2,80,0.106558
1989,1117,2,85,0.193388
1989,1117,3,0,0.015781
1989,1117,3,1,7.87e-4
1989,1117,3,5,4.47e-4
1989,1117,3,10,4.45e-4
1989,1117,3,15,0.001127
1989,1117,3,20,0.001551
1989,1117,3,25,0.001767
1989,1117,3,30,0.002164
1989,1117,3,35,0.00299
1989,1117,3,40,0.004665
1989,1117,3,45,0.007375
1989,1117,3,50,0.010496
1989,1117,3,55,0.015261
1989,1117,3,60,0.021636
1989,1117,3,65,0.028576
1989,1117,3,70,0.044872
1989,1117,3,75,0.069136
1989,1117,3,80,0.116863
1989,1117,3,85,0.198301
1989,1118,1,0,0.019458
1989,1118,1,1,0.001309
1989,1118,1,5,6.03e-4
1989,1118,1,10,5.95e-4
1989,1118,1,15,0.001189
1989,1118,1,20,0.002215
1989,1118,1,25,0.003016
1989,1118,1,30,0.003807
1989,1118,1,35,0.004777
1989,1118,1,40,0.006449
1989,1118,1,45,0.009711
1989,1118,1,50,0.014372
1989,1118,1,55,0.021168
1989,1118,1,60,0.030444
1989,1118,1,65,0.040707
1989,1118,1,70,0.064112
1989,1118,1,75,0.093136
1989,1118,1,80,0.137656
1989,1118,1,85,0.20502
1989,1118,2,0,0.015346
1989,1118,2,1,0.001139
1989,1118,2,5,2.98e-4
1989,1118,2,10,2.45e-4
1989,1118,2,15,4.87e-4
1989,1118,2,20,7.23e-4
1989,1118,2,25,7.53e-4
1989,1118,2,30,0.001066
1989,1118,2,35,0.001554
1989,1118,2,40,0.002098
1989,1118,2,45,0.003151
1989,1118,2,50,0.004523
1989,1118,2,55,0.007742
1989,1118,2,60,0.011865
1989,1118,2,65,0.019667
1989,1118,2,70,0.03583
1989,1118,2,75,0.057331
1989,1118,2,80,0.098057
1989,1118,2,85,0.179361
1989,1118,3,0,0.017449
1989,1118,3,1,0.001226
1989,1118,3,5,4.53e-4
1989,1118,3,10,4.23e-4
1989,1118,3,15,8.48e-4
1989,1118,3,20,0.001492
1989,1118,3,25,0.001909
1989,1118,3,30,0.002452
1989,1118,3,35,0.00315
1989,1118,3,40,0.004197
1989,1118,3,45,0.006254
1989,1118,3,50,0.00909
1989,1118,3,55,0.013807
1989,1118,3,60,0.019527
1989,1118,3,65,0.026528
1989,1118,3,70,0.043977
1989,1118,3,75,0.066818
1989,1118,3,80,0.107321
1989,1118,3,85,0.184245
1989,1119,1,0,0.016407
1989,1119,1,1,0.001303
1989,1119,1,5,6.98e-4
1989,1119,1,10,6.32e-4
1989,1119,1,15,0.001417
1989,1119,1,20,0.00233
1989,1119,1,25,0.003163
1989,1119,1,30,0.00394
1989,1119,1,35,0.005152
1989,1119,1,40,0.00697
1989,1119,1,45,0.011894
1989,1119,1,50,0.015395
1989,1119,1,55,0.02166
1989,1119,1,60,0.032442
1989,1119,1,65,0.046262
1989,1119,1,70,0.07152
1989,1119,1,75,0.104801
1989,1119,1,80,0.149992
1989,1119,1,85,0.241353
1989,1119,2,0,0.013427
1989,1119,2,1,8.08e-4
1989,1119,2,5,2.65e-4
1989,1119,2,10,4.31e-4
