year,reg_sk,sex_sk,esp_year,age_sk,sdr
1989,1119,1,2013,15,5.21
1989,1119,1,2013,50,22.73
1989,1119,1,2013,65,103.06
1989,1119,1,2013,999,27.16
1989,1119,2,1976,0,1.43
1989,1119,2,1976,15,1.35
1989,1119,2,1976,50,7.75
1989,1119,2,1976,65,56.16
1989,1119,2,1976,999,8.55
1989,1119,2,2013,0,1.28
1989,1119,2,2013,15,1.41
1989,1119,2,2013,50,7.96
1989,1119,2,2013,65,67.18
1989,1119,2,2013,999,15.49
1989,1119,3,1976,0,1.72
1989,1119,3,1976,15,3.21
1989,1119,3,1976,50,14
1989,1119,3,1976,65,63.53
1989,1119,3,1976,999,11.46
1989,1119,3,2013,0,1.55
1989,1119,3,2013,15,3.35
1989,1119,3,2013,50,14.3
1989,1119,3,2013,65,74.42
1989,1119,3,2013,999,19.06
1989,1120,1,1976,0,1.83
1989,1120,1,1976,15,4.82
1989,1120,1,1976,50,21.11
1989,1120,1,1976,65,82.02
1989,1120,1,1976,999,15.59
1989,1120,1,2013,0,1.66
1989,1120,1,2013,15,5.02
1989,1120,1,2013,50,21.57
1989,1120,1,2013,65,93.52
1989,1120,1,2013,999,24.97
1989,1120,2,1976,0,1.38
1989,1120,2,1976,15,1.4
1989,1120,2,1976,50,7.42
1989,1120,2,1976,65,50.9
1989,1120,2,1976,999,7.92
1989,1120,2,2013,0,1.23
1989,1120,2,2013,15,1.46
1989,1120,2,2013,50,7.61
1989,1120,2,2013,65,60.6
1989,1120,2,2013,999,14.16
1989,1120,3,1976,0,1.61
1989,1120,3,1976,15,3.08
1989,1120,3,1976,50,13.35
1989,1120,3,1976,65,58.86
1989,1120,3,1976,999,10.74
1989,1120,3,2013,0,1.45
1989,1120,3,2013,15,3.21
1989,1120,3,2013,50,13.63
1989,1120,3,2013,65,68.72
1989,1120,3,2013,999,17.73
1989,1122,1,1976,0,1.9
1989,1122,1,1976,15,5.09
1989,1122,1,1976,50,23.49
1989,1122,1,1976,65,88.25
1989,1122,1,1976,999,16.85
1989,1122,1,2013,0,1.72
1989,1122,1,2013,15,5.32
1989,1122,1,2013,50,24
1989,1122,1,2013,65,99.65
1989,1122,1,2013,999,26.78
1989,1122,2,1976,0,1.37
1989,1122,2,1976,15,1.31
1989,1122,2,1976,50,7.99
1989,1122,2,1976,65,54.37
1989,1122,2,1976,999,8.36
1989,1122,2,2013,0,1.23
1989,1122,2,2013,15,1.37
1989,1122,2,2013,50,8.19
1989,1122,2,2013,65,64.46
1989,1122,2,2013,999,14.98
1989,1122,3,1976,0,1.64
1989,1122,3,1976,15,3.15
1989,1122,3,1976,50,14.51
1989,1122,3,1976,65,62.49
1989,1122,3,1976,999,11.39
1989,1122,3,2013,0,1.48
1989,1122,3,2013,15,3.3
1989,1122,3,2013,50,14.81
1989,1122,3,2013,65,72.52
1989,1122,3,2013,999,18.75
1989,1124,1,1976,0,1.93
1989,1124,1,1976,15,5.25
1989,1124,1,1976,50,24.92
1989,1124,1,1976,65,95.37
1989,1124,1,1976,999,17.97
1989,1124,1,2013,0,1.74
1989,1124,1,2013,15,5.52
1989,1124,1,2013,50,25.46
1989,1124,1,2013,65,107.41
1989,1124,1,2013,999,28.67
1989,1124,2,1976,0,1.38
1989,1124,2,1976,15,1.41
1989,1124,2,1976,50,8.38
1989,1124,2,1976,65,59.88
1989,1124,2,1976,999,9.09
1989,1124,2,2013,0,1.22
1989,1124,2,2013,15,1.48
1989,1124,2,2013,50,8.61
1989,1124,2,2013,65,70.84
1989,1124,2,2013,999,16.35
1989,1124,3,1976,0,1.66
1989,1124,3,1976,15,3.28
1989,1124,3,1976,50,15.33
1989,1124,3,1976,65,67.88
1989,1124,3,1976,999,12.2
1989,1124,3,2013,0,1.48
1989,1124,3,2013,15,3.45
1989,1124,3,2013,50,15.65
1989,1124,3,2013,65,78.69
1989,1124,3,2013,999,20.19
1989,1125,1,1976,0,2.61
1989,1125,1,1976,15,6.01
1989,1125,1,1976,50,24.17
1989,1125,1,1976,65,94.19
1989,1125,1,1976,999,18.23
1989,1125,1,2013,0,2.35
1989,1125,1,2013,15,6.22
1989,1125,1,2013,50,24.76
1989,1125,1,2013,65,107.12
1989,1125,1,2013,999,28.89
1989,1125,2,1976,0,1.69
1989,1125,2,1976,15,1.9
1989,1125,2,1976,50,9.8
1989,1125,2,1976,65,62.46
1989,1125,2,1976,999,9.94
1989,1125,2,2013,0,1.52
1989,1125,2,2013,15,1.98
1989,1125,2,2013,50,10.09
1989,1125,2,2013,65,73.02
1989,1125,2,2013,999,17.34
1989,1125,3,1976,0,2.16
1989,1125,3,1976,15,3.96
1989,1125,3,1976,50,16.07
1989,1125,3,1976,65,71.26
1989,1125,3,1976,999,13.15
1989,1125,3,2013,0,1.94
1989,1125,3,2013,15,4.11
1989,1125,3,2013,50,16.45
1989,1125,3,2013,65,82.11
1989,1125,3,2013,999,21.38
1989,1127,1,1976,0,2.04
1989,1127,1,1976,15,4.68
1989,1127,1,1976,50,23.29
1989,1127,1,1976,65,89
1989,1127,1,1976,999,16.73
1989,1127,1,2013,0,1.88
1989,1127,1,2013,15,4.88
1989,1127,1,2013,50,23.87
1989,1127,1,2013,65,99.56
1989,1127,1,2013,999,26.57
1989,1127,2,1976,0,1.41
1989,1127,2,1976,15,1.59
1989,1127,2,1976,50,9.14
1989,1127,2,1976,65,59.71
1989,1127,2,1976,999,9.3
1989,1127,2,2013,0,1.27
1989,1127,2,2013,15,1.65
1989,1127,2,2013,50,9.4
1989,1127,2,2013,65,70.05
1989,1127,2,2013,999,16.44
1989,1127,3,1976,0,1.73
1989,1127,3,1976,15,3.14
1989,1127,3,1976,50,15.17
1989,1127,3,1976,65,67.47
1989,1127,3,1976,999,12.07
1989,1127,3,2013,0,1.58
1989,1127,3,2013,15,3.26
1989,1127,3,2013,50,15.54
1989,1127,3,2013,65,77.62
1989,1127,3,2013,999,19.89
1989,1128,1,1976,0,2.48
1989,1128,1,1976,15,5.68
1989,1128,1,1976,50,24.76
1989,1128,1,1976,65,91.84
1989,1128,1,1976,999,17.89
1989,1128,1,2013,0,2.25
1989,1128,1,2013,15,5.93
1989,1128,1,2013,50,25.25
1989,1128,1,2013,65,104.05
1989,1128,1,2013,999,28.25
1989,1128,2,1976,0,1.55
1989,1128,2,1976,15,1.5
1989,1128,2,1976,50,8.61
1989,1128,2,1976,65,55.2
1989,1128,2,1976,999,8.7
1989,1128,2,2013,0,1.38
1989,1128,2,2013,15,1.59
1989,1128,2,2013,50,8.83
1989,1128,2,2013,65,65.12
1989,1128,2,2013,999,15.35
1989,1128,3,1976,0,2.02
1989,1128,3,1976,15,3.58
1989,1128,3,1976,50,15.53
1989,1128,3,1976,65,63.15
1989,1128,3,1976,999,11.94
1989,1128,3,2013,0,1.82
1989,1128,3,2013,15,3.75
1989,1128,3,2013,50,15.83
1989,1128,3,2013,65,73.01
1989,1128,3,2013,999,19.3
1989,1129,1,1976,0,2.18
1989,1129,1,1976,15,5.11
1989,1129,1,1976,50,24.52
1989,1129,1,1976,65,90.38
1989,1129,1,1976,999,17.34
1989,1129,1,2013,0,1.97
1989,1129,1,2013,15,5.35
1989,1129,1,2013,50,25.03
1989,1129,1,2013,65,102.43
1989,1129,1,2013,999,27.58
1989,1129,2,1976,0,1.39
1989,1129,2,1976,15,1.41
1989,1129,2,1976,50,8.24
1989,1129,2,1976,65,57.29
1989,1129,2,1976,999,8.78
1989,1129,2,2013,0,1.24
1989,1129,2,2013,15,1.47
1989,1129,2,2013,50,8.45
1989,1129,2,2013,65,67.55
1989,1129,2,2013,999,15.68
1989,1129,3,1976,0,1.79
1989,1129,3,1976,15,3.23
1989,1129,3,1976,50,15.2
1989,1129,3,1976,65,64.9
1989,1129,3,1976,999,11.85
1989,1129,3,2013,0,1.61
1989,1129,3,2013,15,3.38
1989,1129,3,2013,50,15.49
1989,1129,3,2013,65,75.15
1989,1129,3,2013,999,19.45
1989,1130,1,1976,0,1.99
1989,1130,1,1976,15,4.8
1989,1130,1,1976,50,28.36
1989,1130,1,1976,65,122.93
1989,1130,1,1976,999,21.42
1989,1130,1,2013,0,1.8
1989,1130,1,2013,15,4.99
1989,1130,1,2013,50,29.12
1989,1130,1,2013,65,138.26
1989,1130,1,2013,999,35.17
1989,1130,2,1976,0,1.23
1989,1130,2,1976,15,1.64
1989,1130,2,1976,50,12.06
1989,1130,2,1976,65,78.42
1989,1130,2,1976,999,11.87
1989,1130,2,2013,0,1.1
1989,1130,2,2013,15,1.72
1989,1130,2,2013,50,12.52
1989,1130,2,2013,65,90.03
1989,1130,2,2013,999,20.95
1989,1130,3,1976,0,1.62
1989,1130,3,1976,15,3.32
1989,1130,3,1976,50,19.28
1989,1130,3,1976,65,88.63
1989,1130,3,1976,999,15.2
1989,1130,3,2013,0,1.45
1989,1130,3,2013,15,3.45
1989,1130,3,2013,50,19.81
1989,1130,3,2013,65,100.72
1989,1130,3,2013,999,25.29
1989,1132,1,1976,0,2.58
1989,1132,1,1976,15,5.77
1989,1132,1,1976,50,22.91
1989,1132,1,1976,65,90.69
1989,1132,1,1976,999,17.49
1989,1132,1,2013,0,2.34
1989,1132,1,2013,15,6
1989,1132,1,2013,50,23.38
1989,1132,1,2013,65,103.31
1989,1132,1,2013,999,27.78
1989,1132,2,1976,0,1.74
1989,1132,2,1976,15,1.77
1989,1132,2,1976,50,9.47
1989,1132,2,1976,65,60.17
1989,1132,2,1976,999,9.57
1989,1132,2,2013,0,1.55
1989,1132,2,2013,15,1.84
1989,1132,2,2013,50,9.73
1989,1132,2,2013,65,70.68
1989,1132,2,2013,999,16.75
1989,1132,3,1976,0,2.17
1989,1132,3,1976,15,3.76
1989,1132,3,1976,50,15.4
1989,1132,3,1976,65,68.4
1989,1132,3,1976,999,12.62
1989,1132,3,2013,0,1.95
1989,1132,3,2013,15,3.91
1989,1132,3,2013,50,15.73
1989,1132,3,2013,65,79.12
1989,1132,3,2013,999,20.57
1989,1133,1,1976,0,2.11
1989,1133,1,1976,15,4.85
1989,1133,1,1976,50,22.46
1989,1133,1,1976,65,92.2
1989,1133,1,1976,999,17.03
1989,1133,1,2013,0,1.91
1989,1133,1,2013,15,5.05
1989,1133,1,2013,50,22.99
1989,1133,1,2013,65,104.45
1989,1133,1,2013,999,27.43
1989,1133,2,1976,0,1.48
1989,1133,2,1976,15,1.58
1989,1133,2,1976,50,8
1989,1133,2,1976,65,57.36
1989,1133,2,1976,999,8.85
1989,1133,2,2013,0,1.32
1989,1133,2,2013,15,1.65
1989,1133,2,2013,50,8.21
1989,1133,2,2013,65,68.48
1989,1133,2,2013,999,15.91
1989,1133,3,1976,0,1.8
1989,1133,3,1976,15,3.26
1989,1133,3,1976,50,14.18
1989,1133,3,1976,65,64.99
1989,1133,3,1976,999,11.69
1989,1133,3,2013,0,1.62
1989,1133,3,2013,15,3.39
1989,1133,3,2013,50,14.49
1989,1133,3,2013,65,75.98
1989,1133,3,2013,999,19.42
1989,1134,1,1976,0,2.29
1989,1134,1,1976,15,4.66
1989,1134,1,1976,50,23.69
1989,1134,1,1976,65,94.32
1989,1134,1,1976,999,17.42
1989,1134,1,2013,0,2.06
1989,1134,1,2013,15,4.86
1989,1134,1,2013,50,24.1
1989,1134,1,2013,65,107.89
1989,1134,1,2013,999,28.26
1989,1134,2,1976,0,1.5
1989,1134,2,1976,15,1.57
1989,1134,2,1976,50,8.56
1989,1134,2,1976,65,58.16
1989,1134,2,1976,999,9.04
1989,1134,2,2013,0,1.33
1989,1134,2,2013,15,1.64
1989,1134,2,2013,50,8.8
1989,1134,2,2013,65,69.02
1989,1134,2,2013,999,16.12
1989,1134,3,1976,0,1.91
1989,1134,3,1976,15,3.14
1989,1134,3,1976,50,15.11
1989,1134,3,1976,65,65.87
1989,1134,3,1976,999,11.92
1989,1134,3,2013,0,1.71
1989,1134,3,2013,15,3.27
1989,1134,3,2013,50,15.38
1989,1134,3,2013,65,76.79
1989,1134,3,2013,999,19.72
1989,1136,1,1976,0,2.18
1989,1136,1,1976,15,4.51
1989,1136,1,1976,50,21.91
1989,1136,1,1976,65,87.37
1989,1136,1,1976,999,16.25
1989,1136,1,2013,0,1.97
1989,1136,1,2013,15,4.7
1989,1136,1,2013,50,22.44
1989,1136,1,2013,65,98.85
1989,1136,1,2013,999,26.08
1989,1136,2,1976,0,1.45
1989,1136,2,1976,15,1.39
1989,1136,2,1976,50,8.16
1989,1136,2,1976,65,55.99
1989,1136,2,1976,999,8.63
1989,1136,2,2013,0,1.29
1989,1136,2,2013,15,1.45
1989,1136,2,2013,50,8.39
1989,1136,2,2013,65,66.11
1989,1136,2,2013,999,15.39
1989,1136,3,1976,0,1.83
1989,1136,3,1976,15,2.9
1989,1136,3,1976,50,14.08
1989,1136,3,1976,65,64.31
1989,1136,3,1976,999,11.43
1989,1136,3,2013,0,1.64
